title,description,Polarity,,Subjectivity
Atatiana Jefferson: 'Why I will no longer call the police',"When James Smith called police to check his neighbour was OK, she ended up dead. Never again, he says.",0,,0.125
Coronavirus: What attacks on Asians reveal about American identity,Covid-inspired attacks on East Asian people in the US reveal uncomfortable truths about American identity.,0,,0
Viewpoint: US must confront its Original Sin to move forward,Neglect of the past and belief in progress has left many unaware of the scope of US racial tensions.,0,,0
Viewpoint: Why racism in US is worse than in Europe,Writer Barrett Holmes Pitner explains why he thinks American racism is unique.,0.375,,0.75
Eric Garner death inspires an unlikely police experiment,What happened when officers and civilians watched a video of a man dying at the hands of the police?,-0.4,,0.6
How America moves beyond its racist past,The BBC's Aleem Maqbool examines ways the US can move beyond it's racist history.,-0.5,,0.5
Driving into the art of Vincent Van Gogh,Toronto's immersive exhibition allows audiences to experience art from the comfort of their car.,-0.25,,0.25
"Coronavirus: Protest, rally or eating out - Where is riskier?",Dr Georges Benjamin breaks down the risks of going into crowds and how best to protect yourself.,0,,0
Why Texas is seeing a surge in coronavirus cases,"In the past week, the state has seen upwards of 6,000 new cases every day and hospitals are reaching capacity.",0,,0
Martin Luther King Jr's daughter: 'I know the pain of growing up without a father',"Rev Bernice A King was speaking at Rayshard Brooks' funeral in Atlanta, Georgia.",0,,0
Living through the threat of eviction in the pandemic,The BBC meets a single father of three as he navigates trying to keep his apartment.,0,,0
Trump voter: 'These people here are genuine Americans',The BBC went to the US state of Montana to hear what voters think of President Trump.,0,,0
Early American policing - runaway slave patrols,"From slave patrols to enabling lynchings, we look at the history of police violence in black America.",0.4,,0.5
'This has to be a fundamental rethinking' of police tactics,Governor Cuomo says that little has changed since Rodney King was a victim of police brutality in 1991.,0.05,,0.15
White House likens Trump to Churchill in WW2,The press secretary compares the president to the British wartime leader inspecting bomb damage.,0,,0
Barack Obama: I want you to know that you matter,The ex-US president has been giving his first video address since unrest over the death of George Floyd.,0,,0
'We felt like we were going to die in that car',"Two black students were dragged from their car in Atlanta, Georgia, by police, who now face charges.",0,,0
"George Floyd's daughter, 6, is 'proof he was good'","Roxie Washington, mother of Gianna, six, broke down in tears at a press conference in Minneapolis.",0,,0
George Floyd protests: Trudeau's epic pause when asked about Trump's response,"Asked about race, unrest and the US response, the Canadian prime minister chose his words carefully.",0.7,,0.6
Derek Chauvin is charged with second-degree murder,Minnesota Attorney General Keith Ellison upgraded charges for officers involved in George Floyd case.,0.1,,0.4
