title,description,link,pubDate,BBC polarity,BBC subjectivity
Did first female-majority legislature in US make a difference?,Nevada became the first state with a female-majority legislature. Did it make a difference?,https://www.bbc.co.uk/news/world-us-canada-51623420,"Wed, 04 Mar 2020 22:49:54 GMT",0,0
The other reason behind Wall Street's jitters,"It's not just the coronavirus driving markets, politics is too.",https://www.bbc.co.uk/news/business-51668495,"Wed, 04 Mar 2020 20:58:46 GMT",0.25,0.333333333
What does Trump's new Denaturalisation Section do?,Critics are concerned by the rise in denaturalisation cases brought by the Trump administration.,https://www.bbc.co.uk/news/world-us-canada-51681840,"Fri, 28 Feb 2020 23:31:17 GMT",-0.2625,0.5375
Making chopsticks into house furnishings,"ChopValue collects 350,000 used bamboo chopsticks from Vancouver restaurants every week.",https://www.bbc.co.uk/news/world-us-canada-51636832,"Sat, 29 Feb 2020 00:22:23 GMT",0.136363636,0.454545455
Jack Welch: Legendary General Electric boss dies at 84,The charismatic former executive transformed GE into America's most valuable company.,https://www.bbc.co.uk/news/business-51710337,"Mon, 02 Mar 2020 18:06:56 GMT",0,0
How making a violin brought these two together,"When Nashville musician Amanda asked violinmaker Ray to make her one, little did she know where it would lead.",https://www.bbc.co.uk/news/world-us-canada-51649247,"Thu, 27 Feb 2020 20:17:39 GMT",0.525,0.75
The boss who put everyone on 70K,"A tech boss introduced a $70,000 minimum salary for all his staff - by cutting his own wages. Five years, on he has no regrets.",https://www.bbc.co.uk/news/stories-51332811,"Fri, 28 Feb 2020 00:02:43 GMT",0,0
Harvey Weinstein guilty: How the Hollywood giant faced his reckoning,"The judge said this was not a referendum on #MeToo. But at times, the trial felt like one.",https://www.bbc.co.uk/news/world-us-canada-51451977,"Mon, 24 Feb 2020 18:17:58 GMT",0,0
Super Tuesday: Why didn't more young people vote?,Bernie Sanders won the youth vote in every single state on Super Tuesday - but that wasn't enough.,https://www.bbc.co.uk/news/world-us-canada-51763333,"Sun, 08 Mar 2020 00:11:32 GMT",-0.25,1
QUIZ: Where did Bloomberg's money go?,The billionaire has ended his White House bid - but not before spending a whole lot of money on his campaign.,https://www.bbc.co.uk/news/world-us-canada-51746882,"Wed, 04 Mar 2020 22:34:26 GMT",0.311111111,0.522222222
Super Tuesday results: What next for the big three?,"BBC reporters with the presidential campaigns deliver their verdicts on Biden, Sanders and Bloomberg.",https://www.bbc.co.uk/news/world-us-canada-51684187,"Wed, 04 Mar 2020 07:24:35 GMT",0,0
Joe Biden profile: Third White House run for 'Middle Class Joe',"The former vice-president has 40 years of political experience to call on, and to defend.",https://www.bbc.co.uk/news/world-us-canada-51682000,"Wed, 04 Mar 2020 10:50:05 GMT",0.111111111,0.255555556
US 2020 election: The ultimate celebrity endorsement quiz,Can you match the A-list admirer to the US election candidate they're backing?,https://www.bbc.co.uk/news/world-us-canada-51653046,"Mon, 02 Mar 2020 14:28:08 GMT",0,0
US election 2020: Five charts on the Democratic race to take on Trump,Democrats have begun choosing the candidate who will go up against Donald Trump on 3 November. But who is leading the pack?,https://www.bbc.co.uk/news/world-us-canada-50097838,"Mon, 02 Mar 2020 15:46:02 GMT",0,1
18 things Bernie Sanders believes,The Democratic candidate has promised a political revolution. But what actually are his stances?,https://www.bbc.co.uk/news/magazine-35364868,"Fri, 28 Feb 2020 14:39:51 GMT",0,0
The app keeping Friday night dinners alive,Millennials have been called 'the loneliest generation' - but one app is trying to tackle that problem for young Jews.,https://www.bbc.co.uk/news/world-us-canada-51774934,"Sun, 08 Mar 2020 00:05:03 GMT",0,0
How to find stricken kangaroos in Australian wildfires,Aerial cinematographer Douglas Thron is using his infrared-equipped drone to find animals in the aftermath of the Australian wildfires.,https://www.bbc.co.uk/news/world-australia-51712552,"Tue, 03 Mar 2020 00:05:42 GMT",0.1,0.4
Alanis Morissette's debut album Jagged Little Pill is 25 years old,It's 25 years since Alanis Morissette's album Jagged Little Pill made her a household name - and to mark the anniversary she's going on tour.,https://www.bbc.co.uk/news/entertainment-arts-51763573,"Fri, 06 Mar 2020 06:54:10 GMT",0,0
'I received death threats for having coronavirus',"Carl Goldman, who first contracted the virus on board a cruise ship, urges everyone to stay calm.",https://www.bbc.co.uk/news/world-us-canada-51761713,"Fri, 06 Mar 2020 01:58:40 GMT",-0.04375,0.35
New Jersey police race to pull driver from burning lorry,The driver was rescued from the cab seconds before it exploded. He escaped with minor injuries.,https://www.bbc.co.uk/news/world-us-canada-51744746,"Wed, 04 Mar 2020 22:47:15 GMT",0,0
Super Tuesday: What unites bitter rivals Biden and Sanders?,Joe Biden and Bernie Sanders gave victory speeches and made some not-so-subtle digs at each other.,https://www.bbc.co.uk/news/world-us-canada-51732112,"Wed, 04 Mar 2020 04:18:28 GMT",0.136363636,0.454545455
Star Wars actor Mark Hamill surprises girl with R2-D2-style arm,"Bella Tadlock, 11, is the first person to receive a bionic arm inspired by the famous droid.",https://www.bbc.co.uk/news/uk-51729702,"Tue, 03 Mar 2020 19:57:04 GMT",0.116666667,0.583333333
Aerial footage shows Nashville tornado damage,At least 22 people have died after two tornadoes ripped through central Tennessee.,https://www.bbc.co.uk/news/world-us-canada-51730262,"Tue, 03 Mar 2020 20:58:24 GMT",0,0
US election 2020: Biden endorsed by Amy Klobuchar and Pete Buttigieg,The US Democratic presidential candidate is boosted by endorsements from his former rivals.,https://www.bbc.co.uk/news/world-us-canada-51719274,"Tue, 03 Mar 2020 08:34:00 GMT",0,0
Pete Buttigieg ends run for president,The 38-year-old dropped out ahead of Super Tuesday votes in 14 US states.,https://www.bbc.co.uk/news/world-us-canada-51700557,"Mon, 02 Mar 2020 02:17:08 GMT",0,0
